Exemplar.Row,Exemplar.Col,Jaccard,Group
117001,117002,0.202898550724638,P6M
117001,117003,0.127272727272727,P6M
117001,117004,0.0727272727272727,P6M
117001,117005,0.135593220338983,P6M
117001,117006,0.189655172413793,P6M
117001,117007,0.145161290322581,P6M
117001,117008,0.147540983606557,P6M
117001,117009,0.0714285714285714,P6M
117001,117010,0.0819672131147541,P6M
117001,117011,0.245283018867925,P6M
117001,117012,0.161290322580645,P6M
117001,117013,0.134328358208955,P6M
117001,117014,0.178571428571429,P6M
117001,117015,0.166666666666667,P6M
117001,117016,0.152542372881356,P6M
117001,117017,0.103448275862069,P6M
117001,117018,0.0819672131147541,P6M
117001,117019,0.123076923076923,P6M
117001,117020,0.19672131147541,P6M
117002,117003,0.145161290322581,P6M
117002,117004,0.192982456140351,P6M
117002,117005,0.206349206349206,P6M
117002,117006,0.181818181818182,P6M
117002,117007,0.25,P6M
117002,117008,0.196969696969697,P6M
117002,117009,0.15,P6M
117002,117010,0.102941176470588,P6M
117002,117011,0.171875,P6M
117002,117012,0.227272727272727,P6M
117002,117013,0.231884057971014,P6M
117002,117014,0.19047619047619,P6M
117002,117015,0.264705882352941,P6M
117002,117016,0.1,P6M
117002,117017,0.123076923076923,P6M
117002,117018,0.171875,P6M
117002,117019,0.123287671232877,P6M
117002,117020,0.28125,P6M
117003,117004,0.119047619047619,P6M
117003,117005,0.170212765957447,P6M
117003,117006,0.14,P6M
117003,117007,0.204081632653061,P6M
117003,117008,0.16,P6M
117003,117009,0.0666666666666667,P6M
117003,117010,0.08,P6M
117003,117011,0.102040816326531,P6M
117003,117012,0.0526315789473684,P6M
117003,117013,0.12280701754386,P6M
117003,117014,0.125,P6M
117003,117015,0.181818181818182,P6M
117003,117016,0.217391304347826,P6M
117003,117017,0.0833333333333333,P6M
117003,117018,0.08,P6M
117003,117019,0.12962962962963,P6M
117003,117020,0.150943396226415,P6M
117004,117005,0.0833333333333333,P6M
117004,117006,0.0384615384615385,P6M
117004,117007,0.12,P6M
117004,117008,0.0784313725490196,P6M
117004,117009,0.125,P6M
117004,117010,0.108695652173913,P6M
117004,117011,0.108695652173913,P6M
117004,117012,0.14,P6M
117004,117013,0.0892857142857143,P6M
117004,117014,0.0851063829787234,P6M
117004,117015,0.0689655172413793,P6M
117004,117016,0.06,P6M
117004,117017,0.0652173913043478,P6M
117004,117018,0.133333333333333,P6M
117004,117019,0.137254901960784,P6M
117004,117020,0.115384615384615,P6M
117005,117006,0.148148148148148,P6M
117005,117007,0.163636363636364,P6M
117005,117008,0.125,P6M
117005,117009,0.0816326530612245,P6M
117005,117010,0.229166666666667,P6M
117005,117011,0.134615384615385,P6M
117005,117012,0.140350877192982,P6M
117005,117013,0.131147540983607,P6M
117005,117014,0.113207547169811,P6M
117005,117015,0.129032258064516,P6M
117005,117016,0.12962962962963,P6M
117005,117017,0.117647058823529,P6M
117005,117018,0.0535714285714286,P6M
117005,117019,0.1,P6M
117005,117020,0.2,P6M
117006,117007,0.157894736842105,P6M
117006,117008,0.181818181818182,P6M
117006,117009,0.195652173913043,P6M
117006,117010,0.12962962962963,P6M
117006,117011,0.109090909090909,P6M
117006,117012,0.116666666666667,P6M
117006,117013,0.0923076923076923,P6M
117006,117014,0.196078431372549,P6M
117006,117015,0.220338983050847,P6M
117006,117016,0.125,P6M
117006,117017,0.0925925925925926,P6M
117006,117018,0.0701754385964912,P6M
117006,117019,0.114754098360656,P6M
117006,117020,0.114754098360656,P6M
117007,117008,0.196428571428571,P6M
117007,117009,0.163265306122449,P6M
117007,117010,0.235294117647059,P6M
117007,117011,0.125,P6M
117007,117012,0.169491525423729,P6M
117007,117013,0.140625,P6M
117007,117014,0.188679245283019,P6M
117007,117015,0.233333333333333,P6M
117007,117016,0.160714285714286,P6M
117007,117017,0.150943396226415,P6M
117007,117018,0.166666666666667,P6M
117007,117019,0.186440677966102,P6M
117007,117020,0.25,P6M
117008,117009,0.0980392156862745,P6M
117008,117010,0.169811320754717,P6M
117008,117011,0.127272727272727,P6M
117008,117012,0.214285714285714,P6M
117008,117013,0.161290322580645,P6M
117008,117014,0.169811320754717,P6M
117008,117015,0.19672131147541,P6M
117008,117016,0.12280701754386,P6M
117008,117017,0.111111111111111,P6M
117008,117018,0.127272727272727,P6M
117008,117019,0.0952380952380952,P6M
117008,117020,0.112903225806452,P6M
117009,117010,0.106382978723404,P6M
117009,117011,0.04,P6M
117009,117012,0.137254901960784,P6M
117009,117013,0.0689655172413793,P6M
117009,117014,0.130434782608696,P6M
117009,117015,0.105263157894737,P6M
117009,117016,0.0588235294117647,P6M
117009,117017,0.19047619047619,P6M
117009,117018,0.106382978723404,P6M
117009,117019,0.0925925925925926,P6M
117009,117020,0.134615384615385,P6M
117010,117011,0.16,P6M
117010,117012,0.230769230769231,P6M
117010,117013,0.172413793103448,P6M
117010,117014,0.137254901960784,P6M
117010,117015,0.189655172413793,P6M
117010,117016,0.111111111111111,P6M
117010,117017,0.166666666666667,P6M
