Participant,Set,X115001,X115002,X115003,X115004,X115005,X115006,X115007,X115008,X115009,X115010,X115011,X115012,X115013,X115014,X115015,X115016,X115017,X115018,X115019,X115020,Set_size,Group
diam,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,P31M
diam,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,6,P31M
diam,3,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,6,P31M
diam,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,5,P31M
logo,5,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,5,P31M
logo,6,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,5,P31M
logo,7,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,5,P31M
logo,8,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,5,P31M
wiad,9,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,P31M
wiad,10,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,6,P31M
wiad,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4,P31M
wiad,12,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,P31M
wiad,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,P31M
gege,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,P31M
gege,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P31M
gege,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,P31M
gege,17,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,P31M
gege,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,P31M
gege,19,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4,P31M
gege,20,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,P31M
seoc,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,P31M
