Participant,Set,X117001,X117002,X117003,X117004,X117005,X117006,X117007,X117008,X117009,X117010,X117011,X117012,X117013,X117014,X117015,X117016,X117017,X117018,X117019,X117020,Set_size,Group
diam,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,P6M
diam,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,4,P6M
diam,3,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,13,P6M
logo,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,P6M
logo,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5,P6M
logo,6,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,P6M
logo,7,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,10,P6M
wiad,8,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,5,P6M
wiad,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,P6M
wiad,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,P6M
wiad,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,P6M
wiad,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,P6M
gege,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,P6M
gege,14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,P6M
gege,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P6M
gege,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,5,P6M
gege,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,P6M
gege,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,P6M
