Exemplar.Row,Exemplar.Col,Jaccard,Group
115001,115002,0.149253731343284,P31M
115001,115003,0.15,P31M
115001,115004,0.0535714285714286,P31M
115001,115005,0.2,P31M
115001,115006,0.207547169811321,P31M
115001,115007,0.109090909090909,P31M
115001,115008,0.12280701754386,P31M
115001,115009,0.207547169811321,P31M
115001,115010,0.0655737704918033,P31M
115001,115011,0.12962962962963,P31M
115001,115012,0.115384615384615,P31M
115001,115013,0.12,P31M
115001,115014,0.192982456140351,P31M
115001,115015,0.1875,P31M
115001,115016,0.142857142857143,P31M
115001,115017,0.235294117647059,P31M
115001,115018,0.109090909090909,P31M
115001,115019,0.125,P31M
115001,115020,0.111111111111111,P31M
115002,115003,0.146666666666667,P31M
115002,115004,0.151515151515152,P31M
115002,115005,0.152777777777778,P31M
115002,115006,0.140845070422535,P31M
115002,115007,0.21875,P31M
115002,115008,0.191176470588235,P31M
115002,115009,0.191176470588235,P31M
115002,115010,0.188405797101449,P31M
115002,115011,0.114285714285714,P31M
115002,115012,0.136363636363636,P31M
115002,115013,0.19672131147541,P31M
115002,115014,0.214285714285714,P31M
115002,115015,0.15625,P31M
115002,115016,0.173913043478261,P31M
115002,115017,0.142857142857143,P31M
115002,115018,0.114285714285714,P31M
115002,115019,0.176470588235294,P31M
115002,115020,0.132352941176471,P31M
115003,115004,0.0967741935483871,P31M
115003,115005,0.19047619047619,P31M
115003,115006,0.123076923076923,P31M
115003,115007,0.147540983606557,P31M
115003,115008,0.0895522388059701,P31M
115003,115009,0.23728813559322,P31M
115003,115010,0.072463768115942,P31M
115003,115011,0.129032258064516,P31M
115003,115012,0.135593220338983,P31M
115003,115013,0.181818181818182,P31M
115003,115014,0.203125,P31M
115003,115015,0.11864406779661,P31M
115003,115016,0.216666666666667,P31M
115003,115017,0.142857142857143,P31M
115003,115018,0.0769230769230769,P31M
115003,115019,0.220338983050847,P31M
115003,115020,0.254545454545455,P31M
115004,115005,0.181818181818182,P31M
115004,115006,0.166666666666667,P31M
115004,115007,0.153846153846154,P31M
115004,115008,0.166666666666667,P31M
115004,115009,0.166666666666667,P31M
115004,115010,0.163636363636364,P31M
115004,115011,0.153846153846154,P31M
115004,115012,0.1875,P31M
115004,115013,0.170212765957447,P31M
115004,115014,0.155172413793103,P31M
115004,115015,0.166666666666667,P31M
115004,115016,0.166666666666667,P31M
115004,115017,0.192307692307692,P31M
115004,115018,0.2,P31M
115004,115019,0.192307692307692,P31M
115004,115020,0.18,P31M
115005,115006,0.206896551724138,P31M
115005,115007,0.116666666666667,P31M
115005,115008,0.129032258064516,P31M
115005,115009,0.186440677966102,P31M
115005,115010,0.126984126984127,P31M
115005,115011,0.135593220338983,P31M
115005,115012,0.142857142857143,P31M
115005,115013,0.148148148148148,P31M
115005,115014,0.174603174603175,P31M
115005,115015,0.26,P31M
115005,115016,0.186440677966102,P31M
115005,115017,0.169491525423729,P31M
115005,115018,0.135593220338983,P31M
115005,115019,0.169491525423729,P31M
115005,115020,0.178571428571429,P31M
115006,115007,0.140350877192982,P31M
115006,115008,0.214285714285714,P31M
115006,115009,0.172413793103448,P31M
115006,115010,0.169491525423729,P31M
115006,115011,0.0833333333333333,P31M
115006,115012,0.215686274509804,P31M
115006,115013,0.153846153846154,P31M
115006,115014,0.180327868852459,P31M
115006,115015,0.173076923076923,P31M
115006,115016,0.259259259259259,P31M
115006,115017,0.175438596491228,P31M
115006,115018,0.25,P31M
115006,115019,0.155172413793103,P31M
115006,115020,0.142857142857143,P31M
115007,115008,0.140350877192982,P31M
115007,115009,0.160714285714286,P31M
115007,115010,0.178571428571429,P31M
115007,115011,0.148148148148148,P31M
115007,115012,0.156862745098039,P31M
115007,115013,0.14,P31M
115007,115014,0.232142857142857,P31M
115007,115015,0.183673469387755,P31M
115007,115016,0.140350877192982,P31M
115007,115017,0.142857142857143,P31M
115007,115018,0.087719298245614,P31M
115007,115019,0.0847457627118644,P31M
115007,115020,0.12962962962963,P31M
115008,115009,0.192982456140351,P31M
115008,115010,0.15,P31M
115008,115011,0.0655737704918033,P31M
115008,115012,0.127272727272727,P31M
115008,115013,0.0909090909090909,P31M
115008,115014,0.107692307692308,P31M
115008,115015,0.109090909090909,P31M
115008,115016,0.152542372881356,P31M
115008,115017,0.135593220338983,P31M
115008,115018,0.160714285714286,P31M
115008,115019,0.218181818181818,P31M
115008,115020,0.207547169811321,P31M
115009,115010,0.112903225806452,P31M
115009,115011,0.0833333333333333,P31M
115009,115012,0.107142857142857,P31M
115009,115013,0.2,P31M
115009,115014,0.142857142857143,P31M
115009,115015,0.173076923076923,P31M
115009,115016,0.114754098360656,P31M
115009,115017,0.135593220338983,P31M
115009,115018,0.0655737704918033,P31M
115009,115019,0.155172413793103,P31M
115009,115020,0.12280701754386,P31M
115010,115011,0.1,P31M
115010,115012,0.211538461538462,P31M
115010,115013,0.12962962962963,P31M
115010,115014,0.216666666666667,P31M
115010,115015,0.107142857142857,P31M
115010,115016,0.112903225806452,P31M
115010,115017,0.133333333333333,P31M
115010,115018,0.157894736842105,P31M
115010,115019,0.0793650793650794,P31M
115010,115020,0.101694915254237,P31M
115011,115012,0.113207547169811,P31M
115011,115013,0.117647058823529,P31M
115011,115014,0.112903225806452,P31M
115011,115015,0.0740740740740741,P31M
115011,115016,0.181818181818182,P31M
115011,115017,0.230769230769231,P31M
115011,115018,0.148148148148148,P31M
115011,115019,0.12280701754386,P31M
115011,115020,0.150943396226415,P31M
115012,115013,0.0588235294117647,P31M
115012,115014,0.178571428571429,P31M
115012,115015,0.122448979591837,P31M
115012,115016,0.215686274509804,P31M
115012,115017,0.150943396226415,P31M
115012,115018,0.156862745098039,P31M
115012,115019,0.109090909090909,P31M
115012,115020,0.16,P31M
115013,115014,0.163636363636364,P31M
115013,115015,0.177777777777778,P31M
115013,115016,0.132075471698113,P31M
115013,115017,0.113207547169811,P31M
115013,115018,0.0961538461538462,P31M
115013,115019,0.0925925925925926,P31M
115013,115020,0.12,P31M
115014,115015,0.181818181818182,P31M
115014,115016,0.180327868852459,P31M
115014,115017,0.145161290322581,P31M
115014,115018,0.169491525423729,P31M
115014,115019,0.109375,P31M
115014,115020,0.152542372881356,P31M
115015,115016,0.109090909090909,P31M
115015,115017,0.153846153846154,P31M
115015,115018,0.115384615384615,P31M
115015,115019,0.0344827586206897,P31M
115015,115020,0.117647058823529,P31M
115016,115017,0.196428571428571,P31M
115016,115018,0.140350877192982,P31M
115016,115019,0.155172413793103,P31M
115016,115020,0.185185185185185,P31M
115017,115018,0.185185185185185,P31M
115017,115019,0.11864406779661,P31M
115017,115020,0.235294117647059,P31M
115018,115019,0.207547169811321,P31M
115018,115020,0.173076923076923,P31M
115019,115020,0.235294117647059,P31M
